sample_id,file,source_file,flavor_id,family,flavor_name,annotation_mode,center_x,center_y,source_crop_size,crop_left,crop_top,crop_right,crop_bottom,padding_pixels,width,height,review_status,padding_fraction,blur_score,bright_fraction,dark_fraction,contrast,quality_flags,quality_status,review_decision,review_notes,source_relative_path,bundle_relative_path,donor_score,donor_rank
IMG_1977_c001,IMG_1977_c001.jpg,IMG_1977.jpg,cocoashot_old_fashioned,cocoashot,Old Fashioned,irregular_manual,184.68,321.7,277,46,183,323,460,0,224,224,pending,0.0,421.49,0.0,0.0,52.88,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_old_fashioned/IMG_1977_c001.jpg,images/accepted/cocoashot_old_fashioned/IMG_1977_c001.jpg,77.06466311151227,3
IMG_1977_c003,IMG_1977_c003.jpg,IMG_1977.jpg,cocoashot_old_fashioned,cocoashot,Old Fashioned,irregular_manual,628.92,309.23,277,490,171,767,448,0,224,224,pending,0.0,394.49,0.0,0.0,50.85,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_old_fashioned/IMG_1977_c003.jpg,images/accepted/cocoashot_old_fashioned/IMG_1977_c003.jpg,74.77050200975195,4
IMG_1977_c022,IMG_1977_c022.jpg,IMG_1977.jpg,cocoashot_old_fashioned,cocoashot,Old Fashioned,irregular_manual,1487.45,1067.35,277,1349,929,1626,1206,0,224,224,pending,0.0,566.97,0.0009,0.0007,49.33,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_old_fashioned/IMG_1977_c022.jpg,images/accepted/cocoashot_old_fashioned/IMG_1977_c022.jpg,74.60827440169952,5
IMG_1980_c008,IMG_1980_c008.jpg,IMG_1980.jpg,cocoashot_tequila,cocoashot,Tequila,irregular_manual,1388.16,806.11,367,1205,623,1572,990,0,224,224,pending,0.0,2102.83,0.0117,0.0384,73.72,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_tequila/IMG_1980_c008.jpg,images/accepted/cocoashot_tequila/IMG_1980_c008.jpg,103.15605908845656,1
IMG_1981_c011,IMG_1981_c011.jpg,IMG_1981.jpg,cocoashot_tequila,cocoashot,Tequila,irregular_manual,1743.66,1005.94,475,1506,768,1981,1243,0,224,224,pending,0.0,3189.63,0.0241,0.071,72.74,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_tequila/IMG_1981_c011.jpg,images/accepted/cocoashot_tequila/IMG_1981_c011.jpg,102.60189467377155,2
IMG_1980_c015,IMG_1980_c015.jpg,IMG_1980.jpg,cocoashot_tequila,cocoashot,Tequila,irregular_manual,1409.85,1373.49,367,1226,1190,1593,1557,0,224,224,pending,0.0,839.47,0.0039,0.0494,73.48,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_tequila/IMG_1980_c015.jpg,images/accepted/cocoashot_tequila/IMG_1980_c015.jpg,100.02584503668722,3
IMG_1981_c015,IMG_1981_c015.jpg,IMG_1981.jpg,cocoashot_tequila,cocoashot,Tequila,irregular_manual,1822.91,1762.38,475,1585,1525,2060,2000,0,224,224,pending,0.0,1824.77,0.0164,0.0309,70.13,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_tequila/IMG_1981_c015.jpg,images/accepted/cocoashot_tequila/IMG_1981_c015.jpg,98.52902837937008,4
IMG_1981_c002,IMG_1981_c002.jpg,IMG_1981.jpg,cocoashot_tequila,cocoashot,Tequila,irregular_manual,725.2,637.62,475,488,400,963,875,0,224,224,pending,0.0,2599.29,0.0286,0.2072,68.85,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_tequila/IMG_1981_c002.jpg,images/accepted/cocoashot_tequila/IMG_1981_c002.jpg,97.44351302500463,5
IMG_1983_c009,IMG_1983_c009.jpg,IMG_1983.jpg,cocoashot_whiskey,cocoashot,Whiskey,regular_grid,428.63,1517.01,675,91,1180,766,1855,0,224,224,pending,0.0,470.28,0.0004,0.0,74.26,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_whiskey/IMG_1983_c009.jpg,images/accepted/cocoashot_whiskey/IMG_1983_c009.jpg,98.84180958885372,1
IMG_1983_c013,IMG_1983_c013.jpg,IMG_1983.jpg,cocoashot_whiskey,cocoashot,Whiskey,regular_grid,370.93,2182.84,675,33,1845,708,2520,0,224,224,pending,0.0,404.17,0.0024,0.0,71.42,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_whiskey/IMG_1983_c013.jpg,images/accepted/cocoashot_whiskey/IMG_1983_c013.jpg,95.19722692848511,2
IMG_1983_c010,IMG_1983_c010.jpg,IMG_1983.jpg,cocoashot_whiskey,cocoashot,Whiskey,regular_grid,1174.61,1517.01,675,837,1180,1512,1855,0,224,224,pending,0.0,943.81,0.0014,0.0012,66.31,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_whiskey/IMG_1983_c010.jpg,images/accepted/cocoashot_whiskey/IMG_1983_c010.jpg,93.5739353963111,3
IMG_1983_c011,IMG_1983_c011.jpg,IMG_1983.jpg,cocoashot_whiskey,cocoashot,Whiskey,regular_grid,1920.59,1517.01,675,1583,1180,2258,1855,0,224,224,pending,0.0,1044.12,0.0002,0.0097,65.3,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_whiskey/IMG_1983_c011.jpg,images/accepted/cocoashot_whiskey/IMG_1983_c011.jpg,93.08754796136819,4
IMG_1983_c015,IMG_1983_c015.jpg,IMG_1983.jpg,cocoashot_whiskey,cocoashot,Whiskey,regular_grid,1904.1,2193.83,675,1567,1856,2242,2531,0,224,224,pending,0.0,373.61,0.0004,0.0059,64.47,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_whiskey/IMG_1983_c015.jpg,images/accepted/cocoashot_whiskey/IMG_1983_c015.jpg,88.13354193918065,5
IMG_1970_c028,IMG_1970_c028.jpg,IMG_1970.jpg,truffle_amaretto,truffle,Amaretto,regular_grid,1795.48,3489.1,470,1560,3254,2030,3724,0,224,224,pending,0.0,210.33,0.004,0.0,65.42,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_amaretto/IMG_1970_c028.jpg,images/accepted/truffle_amaretto/IMG_1970_c028.jpg,86.43368357109624,1
IMG_1970_c001,IMG_1970_c001.jpg,IMG_1970.jpg,truffle_amaretto,truffle,Amaretto,regular_grid,350.12,591.98,470,115,357,585,827,0,224,224,pending,0.0,373.85,0.0005,0.0096,61.54,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_amaretto/IMG_1970_c001.jpg,images/accepted/truffle_amaretto/IMG_1970_c001.jpg,85.19610378379629,2
IMG_1970_c008,IMG_1970_c008.jpg,IMG_1970.jpg,truffle_amaretto,truffle,Amaretto,regular_grid,1776.78,1149.58,470,1542,915,2012,1385,0,224,224,pending,0.0,365.37,0.0001,0.0007,59.49,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_amaretto/IMG_1970_c008.jpg,images/accepted/truffle_amaretto/IMG_1970_c008.jpg,83.09457500687421,3
IMG_1970_c020,IMG_1970_c020.jpg,IMG_1970.jpg,truffle_amaretto,truffle,Amaretto,regular_grid,1788.0,2553.29,470,1553,2318,2023,2788,0,224,224,pending,0.0,262.6,0.0067,0.0,60.92,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_amaretto/IMG_1970_c020.jpg,images/accepted/truffle_amaretto/IMG_1970_c020.jpg,82.5477312105134,4
IMG_1970_c024,IMG_1970_c024.jpg,IMG_1970.jpg,truffle_amaretto,truffle,Amaretto,regular_grid,1791.74,3021.2,470,1557,2786,2027,3256,0,224,224,pending,0.0,270.24,0.0154,0.0,60.95,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_amaretto/IMG_1970_c024.jpg,images/accepted/truffle_amaretto/IMG_1970_c024.jpg,81.82201615126256,5
IMG_1960_c006,IMG_1960_c006.jpg,IMG_1960.jpg,truffle_bananas_foster,truffle,Bananas Foster,irregular_manual,1877.76,712.04,462,1647,481,2109,943,0,224,224,pending,0.0,667.66,0.0014,0.0055,77.03,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_bananas_foster/IMG_1960_c006.jpg,images/accepted/truffle_bananas_foster/IMG_1960_c006.jpg,102.91110283885736,1
IMG_1960_c005,IMG_1960_c005.jpg,IMG_1960.jpg,truffle_bananas_foster,truffle,Bananas Foster,irregular_manual,1402.82,734.01,462,1172,503,1634,965,0,224,224,pending,0.0,367.69,0.0017,0.076,76.2,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_bananas_foster/IMG_1960_c005.jpg,images/accepted/truffle_bananas_foster/IMG_1960_c005.jpg,99.66982473020245,2
IMG_1960_c007,IMG_1960_c007.jpg,IMG_1960.jpg,truffle_bananas_foster,truffle,Bananas Foster,irregular_manual,391.38,1169.15,462,160,938,622,1400,0,224,224,pending,0.0,458.84,0.0022,0.1838,75.22,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_bananas_foster/IMG_1960_c007.jpg,images/accepted/truffle_bananas_foster/IMG_1960_c007.jpg,99.52351441156264,3
IMG_1960_c017,IMG_1960_c017.jpg,IMG_1960.jpg,truffle_bananas_foster,truffle,Bananas Foster,irregular_manual,1389.63,2136.11,462,1159,1905,1621,2367,0,224,224,pending,0.0,579.09,0.0016,0.0387,73.79,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_bananas_foster/IMG_1960_c017.jpg,images/accepted/truffle_bananas_foster/IMG_1960_c017.jpg,99.08273305566507,4
IMG_1960_c010,IMG_1960_c010.jpg,IMG_1960.jpg,truffle_bananas_foster,truffle,Bananas Foster,irregular_manual,1882.16,1182.33,462,1651,951,2113,1413,0,224,224,pending,0.0,364.75,0.0011,0.0023,75.51,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_bananas_foster/IMG_1960_c010.jpg,images/accepted/truffle_bananas_foster/IMG_1960_c010.jpg,99.00780015960093,5
IMG_1976_c003,IMG_1976_c003.jpg,IMG_1976.jpg,truffle_brownie_batter,truffle,Brownie Batter,regular_grid,1194.62,256.52,459,965,27,1424,486,0,224,224,pending,0.0,424.56,0.0007,0.1698,83.55,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_brownie_batter/IMG_1976_c003.jpg,images/accepted/truffle_brownie_batter/IMG_1976_c003.jpg,107.69362379459267,1
IMG_1976_c020,IMG_1976_c020.jpg,IMG_1976.jpg,truffle_brownie_batter,truffle,Brownie Batter,regular_grid,1666.23,2108.36,459,1437,1879,1896,2338,0,224,224,pending,0.0,915.08,0.0055,0.0,72.26,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_brownie_batter/IMG_1976_c020.jpg,images/accepted/truffle_brownie_batter/IMG_1976_c020.jpg,98.99041478842035,2
IMG_1976_c016,IMG_1976_c016.jpg,IMG_1976.jpg,truffle_brownie_batter,truffle,Brownie Batter,regular_grid,1664.6,1643.36,459,1435,1414,1894,1873,0,224,224,pending,0.0,928.97,0.0027,0.001,70.8,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_brownie_batter/IMG_1976_c016.jpg,images/accepted/truffle_brownie_batter/IMG_1976_c016.jpg,97.87060931024993,3
IMG_1976_c012,IMG_1976_c012.jpg,IMG_1976.jpg,truffle_brownie_batter,truffle,Brownie Batter,regular_grid,1662.97,1178.37,459,1433,949,1892,1408,0,224,224,pending,0.0,638.6,0.0014,0.0078,72.16,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_brownie_batter/IMG_1976_c012.jpg,images/accepted/truffle_brownie_batter/IMG_1976_c012.jpg,97.8633719238392,4
IMG_1976_c024,IMG_1976_c024.jpg,IMG_1976.jpg,truffle_brownie_batter,truffle,Brownie Batter,regular_grid,1667.86,2573.36,459,1438,2344,1897,2803,0,224,224,pending,0.0,823.15,0.0067,0.0,69.57,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_brownie_batter/IMG_1976_c024.jpg,images/accepted/truffle_brownie_batter/IMG_1976_c024.jpg,95.75741020870946,5
IMG_1964_c002,IMG_1964_c002.jpg,IMG_1964.jpg,truffle_caramel_apple_cider,truffle,Caramel Apple Cider,regular_grid,940.03,611.08,526,677,348,1203,874,0,224,224,pending,0.0,306.0,0.0002,0.0007,68.31,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_caramel_apple_cider/IMG_1964_c002.jpg,images/accepted/truffle_caramel_apple_cider/IMG_1964_c002.jpg,91.1973909903488,1
IMG_1964_c003,IMG_1964_c003.jpg,IMG_1964.jpg,truffle_caramel_apple_cider,truffle,Caramel Apple Cider,regular_grid,1446.55,592.42,526,1184,329,1710,855,0,224,224,pending,0.0,324.06,0.0005,0.0,67.01,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_caramel_apple_cider/IMG_1964_c003.jpg,images/accepted/truffle_caramel_apple_cider/IMG_1964_c003.jpg,90.09603912270013,2
IMG_1964_c004,IMG_1964_c004.jpg,IMG_1964.jpg,truffle_caramel_apple_cider,truffle,Caramel Apple Cider,regular_grid,1953.08,573.76,526,1690,311,2216,837,0,224,224,pending,0.0,292.73,0.0008,0.0,65.74,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_caramel_apple_cider/IMG_1964_c004.jpg,images/accepted/truffle_caramel_apple_cider/IMG_1964_c004.jpg,88.39064391213635,3
IMG_1964_c001,IMG_1964_c001.jpg,IMG_1964.jpg,truffle_caramel_apple_cider,truffle,Caramel Apple Cider,regular_grid,433.5,629.74,526,170,367,696,893,0,224,224,pending,0.0,256.35,0.0005,0.0008,65.66,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_caramel_apple_cider/IMG_1964_c001.jpg,images/accepted/truffle_caramel_apple_cider/IMG_1964_c001.jpg,87.81174810439505,4
IMG_1964_c006,IMG_1964_c006.jpg,IMG_1964.jpg,truffle_caramel_apple_cider,truffle,Caramel Apple Cider,regular_grid,917.03,1220.6,526,654,958,1180,1484,0,224,224,pending,0.0,352.7,0.0026,0.0106,63.46,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_caramel_apple_cider/IMG_1964_c006.jpg,images/accepted/truffle_caramel_apple_cider/IMG_1964_c006.jpg,86.67379638484574,5
IMG_1974_c004,IMG_1974_c004.jpg,IMG_1974.jpg,truffle_champagne,truffle,Champagne,irregular_manual,1724.58,922.41,420,1515,712,1935,1132,0,224,224,pending,0.0,784.46,0.0029,0.0197,80.93,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_champagne/IMG_1974_c004.jpg,images/accepted/truffle_champagne/IMG_1974_c004.jpg,107.30507813368025,1
IMG_1974_c003,IMG_1974_c003.jpg,IMG_1974.jpg,truffle_champagne,truffle,Champagne,irregular_manual,1162.91,1049.09,420,953,839,1373,1259,0,224,224,pending,0.0,834.44,0.0054,0.0222,77.96,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_champagne/IMG_1974_c003.jpg,images/accepted/truffle_champagne/IMG_1974_c003.jpg,104.33183412868516,2
IMG_1974_c002,IMG_1974_c002.jpg,IMG_1974.jpg,truffle_champagne,truffle,Champagne,irregular_manual,739.67,898.65,420,530,689,950,1109,0,224,224,pending,0.0,1172.16,0.0035,0.0031,75.05,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_champagne/IMG_1974_c002.jpg,images/accepted/truffle_champagne/IMG_1974_c002.jpg,102.96982496695423,3
IMG_1974_c001,IMG_1974_c001.jpg,IMG_1974.jpg,truffle_champagne,truffle,Champagne,irregular_manual,276.88,934.28,420,67,724,487,1144,0,224,224,pending,0.0,900.0,0.0021,0.0008,71.98,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_champagne/IMG_1974_c001.jpg,images/accepted/truffle_champagne/IMG_1974_c001.jpg,98.98402103043337,4
IMG_1974_c009,IMG_1974_c009.jpg,IMG_1974.jpg,truffle_champagne,truffle,Champagne,irregular_manual,312.48,1781.47,420,102,1571,522,1991,0,224,224,pending,0.0,548.7,0.003,0.0014,73.66,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_champagne/IMG_1974_c009.jpg,images/accepted/truffle_champagne/IMG_1974_c009.jpg,98.59749069946646,5
IMG_1988_c009,IMG_1988_c009.jpg,IMG_1988.jpg,truffle_cheesecake,truffle,Cheesecake,regular_grid,1086.27,1800.86,388,892,1607,1280,1995,7,224,224,pending,0.018,555.08,0.0055,0.0332,67.84,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_cheesecake/IMG_1988_c009.jpg,images/accepted/truffle_cheesecake/IMG_1988_c009.jpg,88.97364867516893,1
IMG_1988_c006,IMG_1988_c006.jpg,IMG_1988.jpg,truffle_cheesecake,truffle,Cheesecake,regular_grid,686.59,1351.67,388,493,1158,881,1546,0,224,224,pending,0.0,418.88,0.0019,0.0545,63.3,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_cheesecake/IMG_1988_c006.jpg,images/accepted/truffle_cheesecake/IMG_1988_c006.jpg,87.26987582467038,2
IMG_1988_c008,IMG_1988_c008.jpg,IMG_1988.jpg,truffle_cheesecake,truffle,Cheesecake,regular_grid,669.72,413.4,388,476,219,864,607,0,224,224,pending,0.0,409.12,0.0031,0.0257,62.91,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_cheesecake/IMG_1988_c008.jpg,images/accepted/truffle_cheesecake/IMG_1988_c008.jpg,86.66579919920756,3
IMG_1988_c002,IMG_1988_c002.jpg,IMG_1988.jpg,truffle_cheesecake,truffle,Cheesecake,regular_grid,297.65,1366.75,388,104,1173,492,1561,0,224,224,pending,0.0,382.65,0.0021,0.0179,62.43,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_cheesecake/IMG_1988_c002.jpg,images/accepted/truffle_cheesecake/IMG_1988_c002.jpg,86.0189227144947,4
IMG_1988_c004,IMG_1988_c004.jpg,IMG_1988.jpg,truffle_cheesecake,truffle,Cheesecake,regular_grid,285.38,418.77,388,91,225,479,613,0,224,224,pending,0.0,290.82,0.0022,0.0128,62.73,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_cheesecake/IMG_1988_c004.jpg,images/accepted/truffle_cheesecake/IMG_1988_c004.jpg,85.2145486953435,5
IMG_1994_c014,IMG_1994_c014.jpg,IMG_1994.jpg,truffle_confetti_cake,truffle,Confetti Cake,regular_grid,1002.9,2008.91,594,706,1712,1300,2306,0,224,224,pending,0.0,901.95,0.0011,0.0058,54.96,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_confetti_cake/IMG_1994_c014.jpg,images/accepted/truffle_confetti_cake/IMG_1994_c014.jpg,82.07266872359341,1
IMG_1994_c012,IMG_1994_c012.jpg,IMG_1994.jpg,truffle_confetti_cake,truffle,Confetti Cake,regular_grid,2189.27,1344.93,594,1892,1048,2486,1642,0,224,224,pending,0.0,587.87,0.0382,0.0,58.68,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_confetti_cake/IMG_1994_c012.jpg,images/accepted/truffle_confetti_cake/IMG_1994_c012.jpg,80.37282178487148,2
IMG_1994_c016,IMG_1994_c016.jpg,IMG_1994.jpg,truffle_confetti_cake,truffle,Confetti Cake,regular_grid,2217.79,1950.31,594,1921,1653,2515,2247,0,224,224,pending,0.0,465.83,0.0045,0.0,55.56,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_confetti_cake/IMG_1994_c016.jpg,images/accepted/truffle_confetti_cake/IMG_1994_c016.jpg,79.69386066279812,3
IMG_1994_c010,IMG_1994_c010.jpg,IMG_1994.jpg,truffle_confetti_cake,truffle,Confetti Cake,regular_grid,986.71,1414.85,594,690,1118,1284,1712,0,224,224,pending,0.0,820.84,0.0013,0.0063,52.82,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_confetti_cake/IMG_1994_c010.jpg,images/accepted/truffle_confetti_cake/IMG_1994_c010.jpg,79.53618291563204,4
IMG_1994_c011,IMG_1994_c011.jpg,IMG_1994.jpg,truffle_confetti_cake,truffle,Confetti Cake,regular_grid,1587.99,1379.89,594,1291,1083,1885,1677,0,224,224,pending,0.0,732.01,0.0025,0.0048,53.0,,provisional_accept,accept,,data/chocolates/individual_candidates/truffle_confetti_cake/IMG_1994_c011.jpg,images/accepted/truffle_confetti_cake/IMG_1994_c011.jpg,79.13863737743358,5
