embedding_row,sample_id,relative_path,split,label_type,flavor_id,flavor_name,donor_sample_id,donor_source_file,extraction_method,empty_slot_file,empty_source_file,box_size,target_side,offset_x,offset_y,seed,image_path
10,cocoashot_amaretto_0011,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0011.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2027_r03_c01.jpg,IMG_2027.jpg,30,181,32,17,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0011.jpg
11,cocoashot_amaretto_0012,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0012.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2032_r07_c01.jpg,IMG_2032.jpg,50,176,37,22,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0012.jpg
12,cocoashot_amaretto_0013,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0013.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2021_r03_c01.jpg,IMG_2021.jpg,6,149,36,37,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0013.jpg
13,cocoashot_amaretto_0014,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0014.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2026_r03_c02.jpg,IMG_2026.jpg,16,171,28,21,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0014.jpg
14,cocoashot_amaretto_0015,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0015.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2027_r04_c01.jpg,IMG_2027.jpg,30,171,31,34,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0015.jpg
15,cocoashot_amaretto_0016,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0016.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2031_r05_c05.jpg,IMG_2031.jpg,50,147,41,29,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0016.jpg
16,cocoashot_amaretto_0017,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0017.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2019_r01_c02.jpg,IMG_2019.jpg,6,167,41,35,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0017.jpg
17,cocoashot_amaretto_0018,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0018.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2026_r03_c01.jpg,IMG_2026.jpg,16,150,43,45,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0018.jpg
18,cocoashot_amaretto_0019,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0019.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2028_r06_c04.jpg,IMG_2028.jpg,30,182,22,17,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0019.jpg
19,cocoashot_amaretto_0020,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0020.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2032_r02_c05.jpg,IMG_2032.jpg,50,149,39,44,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0020.jpg
20,cocoashot_amaretto_0021,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0021.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2021_r03_c02.jpg,IMG_2021.jpg,6,179,23,26,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0021.jpg
21,cocoashot_amaretto_0022,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0022.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2026_r02_c01.jpg,IMG_2026.jpg,16,150,33,41,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0022.jpg
22,cocoashot_amaretto_0023,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0023.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2028_r04_c05.jpg,IMG_2028.jpg,30,157,36,30,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0023.jpg
23,cocoashot_amaretto_0024,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0024.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2031_r07_c03.jpg,IMG_2031.jpg,50,159,30,25,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0024.jpg
24,cocoashot_amaretto_0025,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0025.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2019_r02_c02.jpg,IMG_2019.jpg,6,156,44,41,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0025.jpg
25,cocoashot_amaretto_0026,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0026.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2024_r01_c04.jpg,IMG_2024.jpg,16,152,43,38,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0026.jpg
26,cocoashot_amaretto_0027,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0027.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2027_r06_c03.jpg,IMG_2027.jpg,30,146,33,46,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0027.jpg
27,cocoashot_amaretto_0028,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0028.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2031_r04_c02.jpg,IMG_2031.jpg,50,163,37,21,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0028.jpg
28,cocoashot_amaretto_0029,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0029.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2019_r02_c01.jpg,IMG_2019.jpg,6,176,31,25,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0029.jpg
29,cocoashot_amaretto_0030,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0030.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2024_r01_c02.jpg,IMG_2024.jpg,16,160,36,28,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0030.jpg
30,cocoashot_amaretto_0031,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0031.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2027_r06_c01.jpg,IMG_2027.jpg,30,167,34,35,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0031.jpg
31,cocoashot_amaretto_0032,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0032.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2031_r08_c02.jpg,IMG_2031.jpg,50,152,47,33,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0032.jpg
32,cocoashot_amaretto_0033,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0033.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2019_r03_c02.jpg,IMG_2019.jpg,6,185,33,12,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0033.jpg
33,cocoashot_amaretto_0034,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0034.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2026_r01_c02.jpg,IMG_2026.jpg,16,184,29,17,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0034.jpg
34,cocoashot_amaretto_0035,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0035.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2027_r03_c03.jpg,IMG_2027.jpg,30,185,19,23,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0035.jpg
35,cocoashot_amaretto_0036,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0036.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2031_r02_c02.jpg,IMG_2031.jpg,50,148,49,30,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0036.jpg
36,cocoashot_amaretto_0037,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0037.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2019_r01_c02.jpg,IMG_2019.jpg,6,176,31,20,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0037.jpg
37,cocoashot_amaretto_0038,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0038.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2026_r04_c01.jpg,IMG_2026.jpg,16,162,29,28,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0038.jpg
38,cocoashot_amaretto_0039,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0039.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2029_r01_c03.jpg,IMG_2029.jpg,30,164,28,23,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0039.jpg
39,cocoashot_amaretto_0040,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0040.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2031_r09_c05.jpg,IMG_2031.jpg,50,182,32,12,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0040.jpg
40,cocoashot_amaretto_0041,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0041.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2019_r03_c01.jpg,IMG_2019.jpg,6,173,21,28,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0041.jpg
41,cocoashot_amaretto_0042,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0042.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2022_r02_c02.jpg,IMG_2022.jpg,16,168,23,25,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0042.jpg
42,cocoashot_amaretto_0043,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0043.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2027_r04_c04.jpg,IMG_2027.jpg,30,161,25,38,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0043.jpg
43,cocoashot_amaretto_0044,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0044.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2031_r03_c02.jpg,IMG_2031.jpg,50,160,28,31,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0044.jpg
44,cocoashot_amaretto_0045,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0045.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2021_r02_c01.jpg,IMG_2021.jpg,6,174,33,26,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0045.jpg
45,cocoashot_amaretto_0046,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0046.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2025_r03_c04.jpg,IMG_2025.jpg,16,172,30,19,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0046.jpg
46,cocoashot_amaretto_0047,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0047.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2029_r02_c03.jpg,IMG_2029.jpg,30,184,19,17,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0047.jpg
47,cocoashot_amaretto_0048,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0048.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2032_r08_c02.jpg,IMG_2032.jpg,50,171,32,20,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0048.jpg
48,cocoashot_amaretto_0049,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0049.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2019_r01_c02.jpg,IMG_2019.jpg,6,161,25,29,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0049.jpg
49,cocoashot_amaretto_0050,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0050.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2025_r02_c04.jpg,IMG_2025.jpg,16,160,33,25,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0050.jpg
50,cocoashot_amaretto_0051,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0051.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2027_r05_c04.jpg,IMG_2027.jpg,30,171,28,35,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0051.jpg
51,cocoashot_amaretto_0052,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0052.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2031_r01_c01.jpg,IMG_2031.jpg,50,151,47,30,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0052.jpg
52,cocoashot_amaretto_0053,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0053.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2021_r01_c02.jpg,IMG_2021.jpg,6,172,21,18,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0053.jpg
53,cocoashot_amaretto_0054,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0054.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2026_r01_c04.jpg,IMG_2026.jpg,16,182,31,27,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0054.jpg
54,cocoashot_amaretto_0055,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0055.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2029_r05_c01.jpg,IMG_2029.jpg,30,156,39,38,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0055.jpg
55,cocoashot_amaretto_0056,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0056.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2033_r09_c05.jpg,IMG_2033.jpg,50,184,20,20,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0056.jpg
56,cocoashot_amaretto_0057,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0057.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2019_r01_c02.jpg,IMG_2019.jpg,6,179,31,28,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0057.jpg
57,cocoashot_amaretto_0058,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0058.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2026_r01_c04.jpg,IMG_2026.jpg,16,185,29,10,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0058.jpg
58,cocoashot_amaretto_0059,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0059.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2028_r05_c01.jpg,IMG_2028.jpg,30,171,21,33,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0059.jpg
59,cocoashot_amaretto_0060,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0060.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2033_r06_c01.jpg,IMG_2033.jpg,50,153,43,43,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0060.jpg
60,cocoashot_amaretto_0061,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0061.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2019_r03_c02.jpg,IMG_2019.jpg,6,174,34,33,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0061.jpg
