synthetic_id,relative_path,flavor_id,flavor_name,donor_sample_id,donor_source_file,empty_slot_file,empty_source_file,box_size,target_side,offset_x,offset_y,seed
cocoashot_whiskey_pilot_01,data/synthetic_slots/v1/pilot/images/cocoashot_whiskey/cocoashot_whiskey_pilot_01.jpg,cocoashot_whiskey,Whiskey,IMG_1983_c011,IMG_1983.jpg,IMG_2032_r01_c03.jpg,IMG_2032.jpg,50,152,44,35,42
cocoashot_whiskey_pilot_02,data/synthetic_slots/v1/pilot/images/cocoashot_whiskey/cocoashot_whiskey_pilot_02.jpg,cocoashot_whiskey,Whiskey,IMG_1983_c009,IMG_1983.jpg,IMG_2028_r05_c03.jpg,IMG_2028.jpg,30,161,49,27,42
truffle_amaretto_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_amaretto/truffle_amaretto_pilot_01.jpg,truffle_amaretto,Amaretto,IMG_1970_c008,IMG_1970.jpg,IMG_2033_r02_c05.jpg,IMG_2033.jpg,50,178,14,25,42
truffle_amaretto_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_amaretto/truffle_amaretto_pilot_02.jpg,truffle_amaretto,Amaretto,IMG_1970_c008,IMG_1970.jpg,IMG_2034_r10_c01.jpg,IMG_2034.jpg,50,150,43,30,42
truffle_bananas_foster_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_bananas_foster/truffle_bananas_foster_pilot_01.jpg,truffle_bananas_foster,Bananas Foster,IMG_1960_c005,IMG_1960.jpg,IMG_2024_r04_c04.jpg,IMG_2024.jpg,16,183,24,30,42
truffle_bananas_foster_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_bananas_foster/truffle_bananas_foster_pilot_02.jpg,truffle_bananas_foster,Bananas Foster,IMG_1960_c005,IMG_1960.jpg,IMG_2033_r10_c03.jpg,IMG_2033.jpg,50,178,28,29,42
truffle_brownie_batter_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_brownie_batter/truffle_brownie_batter_pilot_01.jpg,truffle_brownie_batter,Brownie Batter,IMG_1976_c016,IMG_1976.jpg,IMG_2020_r03_c01.jpg,IMG_2020.jpg,6,185,16,17,42
truffle_brownie_batter_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_brownie_batter/truffle_brownie_batter_pilot_02.jpg,truffle_brownie_batter,Brownie Batter,IMG_1976_c016,IMG_1976.jpg,IMG_2023_r01_c03.jpg,IMG_2023.jpg,16,181,36,27,42
truffle_caramel_apple_cider_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_caramel_apple_cider/truffle_caramel_apple_cider_pilot_01.jpg,truffle_caramel_apple_cider,Caramel Apple Cider,IMG_1964_c001,IMG_1964.jpg,IMG_2026_r04_c04.jpg,IMG_2026.jpg,16,148,32,34,42
truffle_caramel_apple_cider_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_caramel_apple_cider/truffle_caramel_apple_cider_pilot_02.jpg,truffle_caramel_apple_cider,Caramel Apple Cider,IMG_1964_c002,IMG_1964.jpg,IMG_2027_r06_c05.jpg,IMG_2027.jpg,30,174,23,30,42
truffle_champagne_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_champagne/truffle_champagne_pilot_01.jpg,truffle_champagne,Champagne,IMG_1974_c009,IMG_1974.jpg,IMG_2024_r01_c01.jpg,IMG_2024.jpg,16,160,30,36,42
truffle_champagne_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_champagne/truffle_champagne_pilot_02.jpg,truffle_champagne,Champagne,IMG_1974_c001,IMG_1974.jpg,IMG_2022_r04_c01.jpg,IMG_2022.jpg,16,174,25,35,42
truffle_cheesecake_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_cheesecake/truffle_cheesecake_pilot_01.jpg,truffle_cheesecake,Cheesecake,IMG_1988_c004,IMG_1988.jpg,IMG_2033_r05_c01.jpg,IMG_2033.jpg,50,182,29,17,42
truffle_cheesecake_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_cheesecake/truffle_cheesecake_pilot_02.jpg,truffle_cheesecake,Cheesecake,IMG_1988_c009,IMG_1988.jpg,IMG_2032_r07_c02.jpg,IMG_2032.jpg,50,177,16,22,42
truffle_confetti_cake_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_confetti_cake/truffle_confetti_cake_pilot_01.jpg,truffle_confetti_cake,Confetti Cake,IMG_1994_c012,IMG_1994.jpg,IMG_2030_r04_c04.jpg,IMG_2030.jpg,30,184,15,24,42
truffle_confetti_cake_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_confetti_cake/truffle_confetti_cake_pilot_02.jpg,truffle_confetti_cake,Confetti Cake,IMG_1994_c011,IMG_1994.jpg,IMG_2029_r01_c04.jpg,IMG_2029.jpg,30,170,22,33,42
truffle_cookies_cream_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_cookies_cream/truffle_cookies_cream_pilot_01.jpg,truffle_cookies_cream,Cookies & Cream,IMG_1992_c025,IMG_1992.jpg,IMG_2019_r03_c01.jpg,IMG_2019.jpg,6,158,44,32,42
truffle_cookies_cream_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_cookies_cream/truffle_cookies_cream_pilot_02.jpg,truffle_cookies_cream,Cookies & Cream,IMG_1992_c025,IMG_1992.jpg,IMG_2027_r06_c03.jpg,IMG_2027.jpg,30,184,32,11,42
truffle_creamsicle_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_creamsicle/truffle_creamsicle_pilot_01.jpg,truffle_creamsicle,Creamsicle,IMG_1996_c017,IMG_1996.jpg,IMG_2033_r05_c02.jpg,IMG_2033.jpg,50,180,17,26,42
truffle_creamsicle_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_creamsicle/truffle_creamsicle_pilot_02.jpg,truffle_creamsicle,Creamsicle,IMG_1996_c017,IMG_1996.jpg,IMG_2027_r02_c02.jpg,IMG_2027.jpg,30,148,31,46,42
truffle_creme_brulee_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_creme_brulee/truffle_creme_brulee_pilot_01.jpg,truffle_creme_brulee,Crème Brûlée,IMG_1973_c004,IMG_1973.jpg,IMG_2029_r03_c03.jpg,IMG_2029.jpg,30,180,26,35,42
truffle_creme_brulee_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_creme_brulee/truffle_creme_brulee_pilot_02.jpg,truffle_creme_brulee,Crème Brûlée,IMG_1973_c009,IMG_1973.jpg,IMG_2032_r03_c02.jpg,IMG_2032.jpg,50,147,38,42,42
truffle_dulce_de_leche_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_dulce_de_leche/truffle_dulce_de_leche_pilot_01.jpg,truffle_dulce_de_leche,Dulce de Leche,IMG_1961_c001,IMG_1961.jpg,IMG_2029_r06_c01.jpg,IMG_2029.jpg,30,171,21,29,42
truffle_dulce_de_leche_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_dulce_de_leche/truffle_dulce_de_leche_pilot_02.jpg,truffle_dulce_de_leche,Dulce de Leche,IMG_1961_c004,IMG_1961.jpg,IMG_2030_r05_c04.jpg,IMG_2030.jpg,30,160,31,35,42
truffle_espresso_martini_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_espresso_martini/truffle_espresso_martini_pilot_01.jpg,truffle_espresso_martini,Espresso Martini,IMG_1972_c019,IMG_1972.jpg,IMG_2022_r01_c02.jpg,IMG_2022.jpg,16,164,40,28,42
truffle_espresso_martini_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_espresso_martini/truffle_espresso_martini_pilot_02.jpg,truffle_espresso_martini,Espresso Martini,IMG_1972_c019,IMG_1972.jpg,IMG_2029_r03_c01.jpg,IMG_2029.jpg,30,177,39,31,42
truffle_grey_salt_caramel_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_grey_salt_caramel/truffle_grey_salt_caramel_pilot_01.jpg,truffle_grey_salt_caramel,Grey Salt Caramel,IMG_1975_c009,IMG_1975.jpg,IMG_2028_r02_c01.jpg,IMG_2028.jpg,30,172,28,40,42
truffle_grey_salt_caramel_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_grey_salt_caramel/truffle_grey_salt_caramel_pilot_02.jpg,truffle_grey_salt_caramel,Grey Salt Caramel,IMG_1975_c001,IMG_1975.jpg,IMG_2024_r03_c02.jpg,IMG_2024.jpg,16,145,46,47,42
truffle_key_lime_pie_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_key_lime_pie/truffle_key_lime_pie_pilot_01.jpg,truffle_key_lime_pie,Key Lime Pie,IMG_1995_c023,IMG_1995.jpg,IMG_2029_r06_c04.jpg,IMG_2029.jpg,30,152,52,43,42
truffle_key_lime_pie_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_key_lime_pie/truffle_key_lime_pie_pilot_02.jpg,truffle_key_lime_pie,Key Lime Pie,IMG_1995_c022,IMG_1995.jpg,IMG_2030_r04_c04.jpg,IMG_2030.jpg,30,169,34,36,42
truffle_lemon_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_lemon/truffle_lemon_pilot_01.jpg,truffle_lemon,Lemon,IMG_1991_c006,IMG_1991.jpg,IMG_2028_r06_c03.jpg,IMG_2028.jpg,30,174,37,30,42
truffle_lemon_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_lemon/truffle_lemon_pilot_02.jpg,truffle_lemon,Lemon,IMG_1991_c008,IMG_1991.jpg,IMG_2034_r08_c04.jpg,IMG_2034.jpg,50,177,24,25,42
truffle_manhattan_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_manhattan/truffle_manhattan_pilot_01.jpg,truffle_manhattan,Manhattan,IMG_1965_c017,IMG_1965.jpg,IMG_2033_r06_c02.jpg,IMG_2033.jpg,50,175,17,35,42
truffle_manhattan_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_manhattan/truffle_manhattan_pilot_02.jpg,truffle_manhattan,Manhattan,IMG_1965_c022,IMG_1965.jpg,IMG_2027_r01_c02.jpg,IMG_2027.jpg,30,145,38,43,42
truffle_maple_cream_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_maple_cream/truffle_maple_cream_pilot_01.jpg,truffle_maple_cream,Maple Cream,IMG_1986_c016,IMG_1986.jpg,IMG_2031_r04_c05.jpg,IMG_2031.jpg,50,174,32,33,42
truffle_maple_cream_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_maple_cream/truffle_maple_cream_pilot_02.jpg,truffle_maple_cream,Maple Cream,IMG_1986_c009,IMG_1986.jpg,IMG_2032_r10_c01.jpg,IMG_2032.jpg,50,173,21,33,42
truffle_peanut_butter_caramel_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_peanut_butter_caramel/truffle_peanut_butter_caramel_pilot_01.jpg,truffle_peanut_butter_caramel,Peanut Butter Caramel,IMG_1966_c002,IMG_1966.jpg,IMG_2033_r02_c04.jpg,IMG_2033.jpg,50,173,18,35,42
truffle_peanut_butter_caramel_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_peanut_butter_caramel/truffle_peanut_butter_caramel_pilot_02.jpg,truffle_peanut_butter_caramel,Peanut Butter Caramel,IMG_1966_c004,IMG_1966.jpg,IMG_2032_r02_c04.jpg,IMG_2032.jpg,50,158,26,43,42
truffle_pineapple_moscato_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_pineapple_moscato/truffle_pineapple_moscato_pilot_01.jpg,truffle_pineapple_moscato,Pineapple & Moscato,IMG_1997_c008,IMG_1997.jpg,IMG_2030_r05_c05.jpg,IMG_2030.jpg,30,146,48,53,42
truffle_pineapple_moscato_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_pineapple_moscato/truffle_pineapple_moscato_pilot_02.jpg,truffle_pineapple_moscato,Pineapple & Moscato,IMG_1997_c005,IMG_1997.jpg,IMG_2028_r05_c05.jpg,IMG_2028.jpg,30,179,20,36,42
truffle_pistachio_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_pistachio/truffle_pistachio_pilot_01.jpg,truffle_pistachio,Pistachio,IMG_1987_c014,IMG_1987.jpg,IMG_2021_r02_c01.jpg,IMG_2021.jpg,6,174,20,39,42
truffle_pistachio_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_pistachio/truffle_pistachio_pilot_02.jpg,truffle_pistachio,Pistachio,IMG_1987_c012,IMG_1987.jpg,IMG_2032_r05_c01.jpg,IMG_2032.jpg,50,156,35,33,42
truffle_pumpkin_spice_latte_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_pumpkin_spice_latte/truffle_pumpkin_spice_latte_pilot_01.jpg,truffle_pumpkin_spice_latte,Pumpkin Spice Latte,IMG_1963_c010,IMG_1963.jpg,IMG_2029_r02_c05.jpg,IMG_2029.jpg,30,171,28,19,42
truffle_pumpkin_spice_latte_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_pumpkin_spice_latte/truffle_pumpkin_spice_latte_pilot_02.jpg,truffle_pumpkin_spice_latte,Pumpkin Spice Latte,IMG_1963_c012,IMG_1963.jpg,IMG_2022_r03_c01.jpg,IMG_2022.jpg,16,147,29,40,42
truffle_raspberry_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_raspberry/truffle_raspberry_pilot_01.jpg,truffle_raspberry,Raspberry,IMG_1969_c016,IMG_1969.jpg,IMG_2025_r04_c01.jpg,IMG_2025.jpg,16,174,24,28,42
truffle_raspberry_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_raspberry/truffle_raspberry_pilot_02.jpg,truffle_raspberry,Raspberry,IMG_1969_c002,IMG_1969.jpg,IMG_2034_r07_c01.jpg,IMG_2034.jpg,50,164,39,43,42
truffle_s_mores_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_s_mores/truffle_s_mores_pilot_01.jpg,truffle_s_mores,S'mores,IMG_1971_c024,IMG_1971.jpg,IMG_2023_r02_c01.jpg,IMG_2023.jpg,16,164,24,39,42
truffle_s_mores_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_s_mores/truffle_s_mores_pilot_02.jpg,truffle_s_mores,S'mores,IMG_1971_c015,IMG_1971.jpg,IMG_2031_r01_c02.jpg,IMG_2031.jpg,50,171,44,20,42
truffle_salted_caramel_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_salted_caramel/truffle_salted_caramel_pilot_01.jpg,truffle_salted_caramel,Salted Caramel,IMG_1967_c005,IMG_1967.jpg,IMG_2033_r09_c05.jpg,IMG_2033.jpg,50,184,34,26,42
truffle_salted_caramel_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_salted_caramel/truffle_salted_caramel_pilot_02.jpg,truffle_salted_caramel,Salted Caramel,IMG_1967_c003,IMG_1967.jpg,IMG_2028_r02_c05.jpg,IMG_2028.jpg,30,173,23,34,42
truffle_strawberry_shortcake_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_strawberry_shortcake/truffle_strawberry_shortcake_pilot_01.jpg,truffle_strawberry_shortcake,Strawberry Shortcake,IMG_1990_c015,IMG_1990.jpg,IMG_2029_r03_c05.jpg,IMG_2029.jpg,30,161,36,30,42
truffle_strawberry_shortcake_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_strawberry_shortcake/truffle_strawberry_shortcake_pilot_02.jpg,truffle_strawberry_shortcake,Strawberry Shortcake,IMG_1990_c014,IMG_1990.jpg,IMG_2032_r04_c02.jpg,IMG_2032.jpg,50,176,32,29,42
truffle_tea_honey_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_tea_honey/truffle_tea_honey_pilot_01.jpg,truffle_tea_honey,Tea & Honey,IMG_1959_c002,IMG_1959.jpg,IMG_2031_r03_c02.jpg,IMG_2031.jpg,50,164,39,51,42
truffle_tea_honey_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_tea_honey/truffle_tea_honey_pilot_02.jpg,truffle_tea_honey,Tea & Honey,IMG_1959_c020,IMG_1959.jpg,IMG_2030_r06_c05.jpg,IMG_2030.jpg,30,164,36,28,42
truffle_turtle_pilot_01,data/synthetic_slots/v1/pilot/images/truffle_turtle/truffle_turtle_pilot_01.jpg,truffle_turtle,Turtle,IMG_1968_c004,IMG_1968.jpg,IMG_2024_r03_c04.jpg,IMG_2024.jpg,16,175,23,33,42
truffle_turtle_pilot_02,data/synthetic_slots/v1/pilot/images/truffle_turtle/truffle_turtle_pilot_02.jpg,truffle_turtle,Turtle,IMG_1968_c004,IMG_1968.jpg,IMG_2024_r01_c02.jpg,IMG_2024.jpg,16,179,17,21,42
