synthetic_id,relative_path,flavor_id,flavor_name,donor_sample_id,extraction_method,empty_slot_file,empty_source_file,box_size,target_side,offset_x,offset_y,seed
cocoashot_whiskey_pilot_01,data/synthetic_slots/v1/pilot_v2/images/cocoashot_whiskey/cocoashot_whiskey_pilot_01.jpg,cocoashot_whiskey,Whiskey,IMG_1983_c010,expanded_u2net,IMG_2019_r03_c01.jpg,IMG_2019.jpg,6,178,32,25,2026
cocoashot_whiskey_pilot_02,data/synthetic_slots/v1/pilot_v2/images/cocoashot_whiskey/cocoashot_whiskey_pilot_02.jpg,cocoashot_whiskey,Whiskey,IMG_1983_c010,expanded_u2net,IMG_2033_r08_c02.jpg,IMG_2033.jpg,50,180,16,22,2026
truffle_amaretto_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_amaretto/truffle_amaretto_pilot_01.jpg,truffle_amaretto,Amaretto,IMG_1970_c020,expanded_u2net,IMG_2034_r10_c03.jpg,IMG_2034.jpg,50,173,21,39,2026
truffle_amaretto_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_amaretto/truffle_amaretto_pilot_02.jpg,truffle_amaretto,Amaretto,IMG_1970_c020,expanded_u2net,IMG_2022_r04_c03.jpg,IMG_2022.jpg,16,171,21,39,2026
truffle_bananas_foster_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_bananas_foster/truffle_bananas_foster_pilot_01.jpg,truffle_bananas_foster,Bananas Foster,IMG_1960_c010,expanded_isnet,IMG_2019_r01_c01.jpg,IMG_2019.jpg,6,157,32,27,2026
truffle_bananas_foster_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_bananas_foster/truffle_bananas_foster_pilot_02.jpg,truffle_bananas_foster,Bananas Foster,IMG_1960_c010,expanded_isnet,IMG_2032_r03_c02.jpg,IMG_2032.jpg,50,165,39,38,2026
truffle_brownie_batter_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_brownie_batter/truffle_brownie_batter_pilot_01.jpg,truffle_brownie_batter,Brownie Batter,IMG_1976_c016,expanded_u2net,IMG_2031_r07_c04.jpg,IMG_2031.jpg,50,153,42,43,2026
truffle_brownie_batter_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_brownie_batter/truffle_brownie_batter_pilot_02.jpg,truffle_brownie_batter,Brownie Batter,IMG_1976_c016,expanded_u2net,IMG_2025_r04_c04.jpg,IMG_2025.jpg,16,171,29,28,2026
truffle_caramel_apple_cider_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_caramel_apple_cider/truffle_caramel_apple_cider_pilot_01.jpg,truffle_caramel_apple_cider,Caramel Apple Cider,IMG_1964_c006,expanded_u2net,IMG_2030_r01_c05.jpg,IMG_2030.jpg,30,167,30,21,2026
truffle_caramel_apple_cider_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_caramel_apple_cider/truffle_caramel_apple_cider_pilot_02.jpg,truffle_caramel_apple_cider,Caramel Apple Cider,IMG_1964_c006,expanded_u2net,IMG_2029_r02_c05.jpg,IMG_2029.jpg,30,174,34,23,2026
truffle_champagne_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_champagne/truffle_champagne_pilot_01.jpg,truffle_champagne,Champagne,IMG_1974_c004,manual_polygon,IMG_2027_r02_c03.jpg,IMG_2027.jpg,30,149,46,40,2026
truffle_champagne_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_champagne/truffle_champagne_pilot_02.jpg,truffle_champagne,Champagne,IMG_1974_c004,manual_polygon,IMG_2026_r02_c03.jpg,IMG_2026.jpg,16,157,40,24,2026
truffle_cheesecake_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_cheesecake/truffle_cheesecake_pilot_01.jpg,truffle_cheesecake,Cheesecake,IMG_1988_c006,expanded_u2net,IMG_2027_r03_c04.jpg,IMG_2027.jpg,30,156,46,33,2026
truffle_cheesecake_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_cheesecake/truffle_cheesecake_pilot_02.jpg,truffle_cheesecake,Cheesecake,IMG_1988_c006,expanded_u2net,IMG_2023_r02_c03.jpg,IMG_2023.jpg,16,171,40,31,2026
truffle_confetti_cake_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_confetti_cake/truffle_confetti_cake_pilot_01.jpg,truffle_confetti_cake,Confetti Cake,IMG_1994_c012,expanded_u2net,IMG_2031_r06_c04.jpg,IMG_2031.jpg,50,151,33,39,2026
truffle_confetti_cake_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_confetti_cake/truffle_confetti_cake_pilot_02.jpg,truffle_confetti_cake,Confetti Cake,IMG_1994_c012,expanded_u2net,IMG_2031_r03_c05.jpg,IMG_2031.jpg,50,156,25,39,2026
truffle_cookies_cream_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_cookies_cream/truffle_cookies_cream_pilot_01.jpg,truffle_cookies_cream,Cookies & Cream,IMG_1992_c025,expanded_isnet,IMG_2032_r04_c05.jpg,IMG_2032.jpg,50,162,39,49,2026
truffle_cookies_cream_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_cookies_cream/truffle_cookies_cream_pilot_02.jpg,truffle_cookies_cream,Cookies & Cream,IMG_1992_c025,expanded_isnet,IMG_2028_r05_c03.jpg,IMG_2028.jpg,30,151,40,39,2026
truffle_creamsicle_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_creamsicle/truffle_creamsicle_pilot_01.jpg,truffle_creamsicle,Creamsicle,IMG_1989_c011,expanded_isnet,IMG_2034_r05_c01.jpg,IMG_2034.jpg,50,165,34,38,2026
truffle_creamsicle_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_creamsicle/truffle_creamsicle_pilot_02.jpg,truffle_creamsicle,Creamsicle,IMG_1989_c011,expanded_isnet,IMG_2029_r01_c04.jpg,IMG_2029.jpg,30,161,40,22,2026
truffle_creme_brulee_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_creme_brulee/truffle_creme_brulee_pilot_01.jpg,truffle_creme_brulee,Crème Brûlée,IMG_1973_c019,expanded_u2net,IMG_2020_r03_c02.jpg,IMG_2020.jpg,6,167,29,34,2026
truffle_creme_brulee_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_creme_brulee/truffle_creme_brulee_pilot_02.jpg,truffle_creme_brulee,Crème Brûlée,IMG_1973_c019,expanded_u2net,IMG_2033_r10_c03.jpg,IMG_2033.jpg,50,174,29,20,2026
truffle_dulce_de_leche_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_dulce_de_leche/truffle_dulce_de_leche_pilot_01.jpg,truffle_dulce_de_leche,Dulce de Leche,IMG_1961_c001,manual_polygon,IMG_2031_r08_c04.jpg,IMG_2031.jpg,50,167,20,33,2026
truffle_dulce_de_leche_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_dulce_de_leche/truffle_dulce_de_leche_pilot_02.jpg,truffle_dulce_de_leche,Dulce de Leche,IMG_1961_c001,manual_polygon,IMG_2033_r08_c03.jpg,IMG_2033.jpg,50,164,34,33,2026
truffle_espresso_martini_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_espresso_martini/truffle_espresso_martini_pilot_01.jpg,truffle_espresso_martini,Espresso Martini,IMG_1972_c020,expanded_u2net,IMG_2032_r02_c05.jpg,IMG_2032.jpg,50,155,32,28,2026
truffle_espresso_martini_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_espresso_martini/truffle_espresso_martini_pilot_02.jpg,truffle_espresso_martini,Espresso Martini,IMG_1972_c020,expanded_u2net,IMG_2029_r05_c04.jpg,IMG_2029.jpg,30,153,42,39,2026
truffle_grey_salt_caramel_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_grey_salt_caramel/truffle_grey_salt_caramel_pilot_01.jpg,truffle_grey_salt_caramel,Grey Salt Caramel,IMG_1975_c004,manual_polygon,IMG_2034_r06_c05.jpg,IMG_2034.jpg,50,179,30,25,2026
truffle_grey_salt_caramel_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_grey_salt_caramel/truffle_grey_salt_caramel_pilot_02.jpg,truffle_grey_salt_caramel,Grey Salt Caramel,IMG_1975_c004,manual_polygon,IMG_2025_r03_c02.jpg,IMG_2025.jpg,16,165,24,38,2026
truffle_key_lime_pie_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_key_lime_pie/truffle_key_lime_pie_pilot_01.jpg,truffle_key_lime_pie,Key Lime Pie,IMG_1995_c011,manual_polygon,IMG_2032_r04_c01.jpg,IMG_2032.jpg,50,166,36,30,2026
truffle_key_lime_pie_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_key_lime_pie/truffle_key_lime_pie_pilot_02.jpg,truffle_key_lime_pie,Key Lime Pie,IMG_1995_c011,manual_polygon,IMG_2019_r03_c02.jpg,IMG_2019.jpg,6,177,19,26,2026
truffle_lemon_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_lemon/truffle_lemon_pilot_01.jpg,truffle_lemon,Lemon,IMG_1991_c008,expanded_u2net,IMG_2034_r08_c02.jpg,IMG_2034.jpg,50,167,33,38,2026
truffle_lemon_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_lemon/truffle_lemon_pilot_02.jpg,truffle_lemon,Lemon,IMG_1991_c008,expanded_u2net,IMG_2034_r08_c01.jpg,IMG_2034.jpg,50,176,15,31,2026
truffle_manhattan_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_manhattan/truffle_manhattan_pilot_01.jpg,truffle_manhattan,Manhattan,IMG_1965_c026,expanded_isnet,IMG_2031_r10_c05.jpg,IMG_2031.jpg,50,168,41,27,2026
truffle_manhattan_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_manhattan/truffle_manhattan_pilot_02.jpg,truffle_manhattan,Manhattan,IMG_1965_c026,expanded_isnet,IMG_2024_r01_c02.jpg,IMG_2024.jpg,16,182,27,30,2026
truffle_maple_cream_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_maple_cream/truffle_maple_cream_pilot_01.jpg,truffle_maple_cream,Maple Cream,IMG_1986_c001,manual_polygon,IMG_2030_r02_c02.jpg,IMG_2030.jpg,30,177,24,16,2026
truffle_maple_cream_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_maple_cream/truffle_maple_cream_pilot_02.jpg,truffle_maple_cream,Maple Cream,IMG_1986_c001,manual_polygon,IMG_2029_r03_c03.jpg,IMG_2029.jpg,30,157,35,33,2026
truffle_peanut_butter_caramel_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_peanut_butter_caramel/truffle_peanut_butter_caramel_pilot_01.jpg,truffle_peanut_butter_caramel,Peanut Butter Caramel,IMG_1966_c012,expanded_u2net,IMG_2029_r05_c05.jpg,IMG_2029.jpg,30,183,28,24,2026
truffle_peanut_butter_caramel_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_peanut_butter_caramel/truffle_peanut_butter_caramel_pilot_02.jpg,truffle_peanut_butter_caramel,Peanut Butter Caramel,IMG_1966_c012,expanded_u2net,IMG_2034_r06_c05.jpg,IMG_2034.jpg,50,156,36,42,2026
truffle_pineapple_moscato_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_pineapple_moscato/truffle_pineapple_moscato_pilot_01.jpg,truffle_pineapple_moscato,Pineapple & Moscato,IMG_1997_c016,expanded_u2net,IMG_2024_r03_c02.jpg,IMG_2024.jpg,16,168,21,35,2026
truffle_pineapple_moscato_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_pineapple_moscato/truffle_pineapple_moscato_pilot_02.jpg,truffle_pineapple_moscato,Pineapple & Moscato,IMG_1997_c016,expanded_u2net,IMG_2025_r04_c01.jpg,IMG_2025.jpg,16,151,29,45,2026
truffle_pistachio_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_pistachio/truffle_pistachio_pilot_01.jpg,truffle_pistachio,Pistachio,IMG_1987_c008,expanded_u2net,IMG_2033_r03_c04.jpg,IMG_2033.jpg,50,160,43,37,2026
truffle_pistachio_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_pistachio/truffle_pistachio_pilot_02.jpg,truffle_pistachio,Pistachio,IMG_1987_c008,expanded_u2net,IMG_2023_r03_c01.jpg,IMG_2023.jpg,16,161,37,27,2026
truffle_pumpkin_spice_latte_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_pumpkin_spice_latte/truffle_pumpkin_spice_latte_pilot_01.jpg,truffle_pumpkin_spice_latte,Pumpkin Spice Latte,IMG_1963_c011,expanded_u2net,IMG_2032_r04_c05.jpg,IMG_2032.jpg,50,170,28,23,2026
truffle_pumpkin_spice_latte_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_pumpkin_spice_latte/truffle_pumpkin_spice_latte_pilot_02.jpg,truffle_pumpkin_spice_latte,Pumpkin Spice Latte,IMG_1963_c011,expanded_u2net,IMG_2027_r03_c05.jpg,IMG_2027.jpg,30,182,24,18,2026
truffle_raspberry_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_raspberry/truffle_raspberry_pilot_01.jpg,truffle_raspberry,Raspberry,IMG_1969_c016,expanded_u2net,IMG_2032_r05_c03.jpg,IMG_2032.jpg,50,165,28,38,2026
truffle_raspberry_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_raspberry/truffle_raspberry_pilot_02.jpg,truffle_raspberry,Raspberry,IMG_1969_c016,expanded_u2net,IMG_2033_r01_c03.jpg,IMG_2033.jpg,50,162,31,44,2026
truffle_s_mores_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_s_mores/truffle_s_mores_pilot_01.jpg,truffle_s_mores,S'mores,IMG_1971_c011,manual_polygon,IMG_2030_r04_c02.jpg,IMG_2030.jpg,30,176,32,31,2026
truffle_s_mores_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_s_mores/truffle_s_mores_pilot_02.jpg,truffle_s_mores,S'mores,IMG_1971_c011,manual_polygon,IMG_2033_r03_c04.jpg,IMG_2033.jpg,50,180,21,17,2026
truffle_salted_caramel_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_salted_caramel/truffle_salted_caramel_pilot_01.jpg,truffle_salted_caramel,Salted Caramel,IMG_1967_c004,manual_polygon,IMG_2032_r10_c01.jpg,IMG_2032.jpg,50,166,22,21,2026
truffle_salted_caramel_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_salted_caramel/truffle_salted_caramel_pilot_02.jpg,truffle_salted_caramel,Salted Caramel,IMG_1967_c004,manual_polygon,IMG_2024_r03_c04.jpg,IMG_2024.jpg,16,174,34,24,2026
truffle_strawberry_shortcake_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_strawberry_shortcake/truffle_strawberry_shortcake_pilot_01.jpg,truffle_strawberry_shortcake,Strawberry Shortcake,IMG_1990_c018,expanded_u2net,IMG_2023_r02_c03.jpg,IMG_2023.jpg,16,154,36,33,2026
truffle_strawberry_shortcake_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_strawberry_shortcake/truffle_strawberry_shortcake_pilot_02.jpg,truffle_strawberry_shortcake,Strawberry Shortcake,IMG_1990_c018,expanded_u2net,IMG_2032_r09_c03.jpg,IMG_2032.jpg,50,178,32,32,2026
truffle_tea_honey_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_tea_honey/truffle_tea_honey_pilot_01.jpg,truffle_tea_honey,Tea & Honey,IMG_1959_c020,expanded_u2net,IMG_2028_r03_c01.jpg,IMG_2028.jpg,30,159,38,38,2026
truffle_tea_honey_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_tea_honey/truffle_tea_honey_pilot_02.jpg,truffle_tea_honey,Tea & Honey,IMG_1959_c020,expanded_u2net,IMG_2032_r09_c03.jpg,IMG_2032.jpg,50,176,19,19,2026
truffle_turtle_pilot_01,data/synthetic_slots/v1/pilot_v2/images/truffle_turtle/truffle_turtle_pilot_01.jpg,truffle_turtle,Turtle,IMG_1968_c007,expanded_u2net,IMG_2028_r01_c02.jpg,IMG_2028.jpg,30,170,34,24,2026
truffle_turtle_pilot_02,data/synthetic_slots/v1/pilot_v2/images/truffle_turtle/truffle_turtle_pilot_02.jpg,truffle_turtle,Turtle,IMG_1968_c007,expanded_u2net,IMG_2030_r05_c03.jpg,IMG_2030.jpg,30,179,30,28,2026
