sample_id,relative_path,split,label_type,flavor_id,flavor_name,donor_sample_id,donor_source_file,extraction_method,empty_slot_file,empty_source_file,box_size,row,column,render_index,target_side,offset_x,offset_y,seed
IMG_2035_r02_c02_render01,data/synthetic_slots/v2_10_slot/images/train/truffle_champagne/IMG_2035_r02_c02_render01.jpg,train,occupied,truffle_champagne,Champagne,IMG_1974_c004,IMG_1974.jpg,manual_polygon,IMG_2035_r02_c02.jpg,IMG_2035.jpg,10,2,2,1,146,30,39,20260917
IMG_2035_r02_c02_render02,data/synthetic_slots/v2_10_slot/images/train/truffle_cheesecake/IMG_2035_r02_c02_render02.jpg,train,occupied,truffle_cheesecake,Cheesecake,IMG_1988_c006,IMG_1988.jpg,expanded_u2net,IMG_2035_r02_c02.jpg,IMG_2035.jpg,10,2,2,2,182,36,13,20260917
IMG_2035_r03_c01_render00,data/synthetic_slots/v2_10_slot/images/train/truffle_confetti_cake/IMG_2035_r03_c01_render00.jpg,train,occupied,truffle_confetti_cake,Confetti Cake,IMG_1994_c012,IMG_1994.jpg,expanded_u2net,IMG_2035_r03_c01.jpg,IMG_2035.jpg,10,3,1,0,184,16,23,20260917
IMG_2035_r03_c01_render01,data/synthetic_slots/v2_10_slot/images/train/truffle_cookies_cream/IMG_2035_r03_c01_render01.jpg,train,occupied,truffle_cookies_cream,Cookies & Cream,IMG_1992_c025,IMG_1992.jpg,expanded_isnet,IMG_2035_r03_c01.jpg,IMG_2035.jpg,10,3,1,1,176,33,30,20260917
IMG_2035_r03_c01_render02,data/synthetic_slots/v2_10_slot/images/train/truffle_creamsicle/IMG_2035_r03_c01_render02.jpg,train,occupied,truffle_creamsicle,Creamsicle,IMG_1989_c011,IMG_1989.jpg,expanded_isnet,IMG_2035_r03_c01.jpg,IMG_2035.jpg,10,3,1,2,159,31,27,20260917
IMG_2035_r03_c02_render00,data/synthetic_slots/v2_10_slot/images/train/truffle_creme_brulee/IMG_2035_r03_c02_render00.jpg,train,occupied,truffle_creme_brulee,Crème Brûlée,IMG_1973_c019,IMG_1973.jpg,expanded_u2net,IMG_2035_r03_c02.jpg,IMG_2035.jpg,10,3,2,0,174,33,29,20260917
IMG_2035_r03_c02_render01,data/synthetic_slots/v2_10_slot/images/train/truffle_dulce_de_leche/IMG_2035_r03_c02_render01.jpg,train,occupied,truffle_dulce_de_leche,Dulce de Leche,IMG_1961_c001,IMG_1961.jpg,manual_polygon,IMG_2035_r03_c02.jpg,IMG_2035.jpg,10,3,2,1,176,15,21,20260917
IMG_2035_r03_c02_render02,data/synthetic_slots/v2_10_slot/images/train/truffle_espresso_martini/IMG_2035_r03_c02_render02.jpg,train,occupied,truffle_espresso_martini,Espresso Martini,IMG_1972_c020,IMG_1972.jpg,expanded_u2net,IMG_2035_r03_c02.jpg,IMG_2035.jpg,10,3,2,2,179,20,14,20260917
IMG_2035_r04_c01_render00,data/synthetic_slots/v2_10_slot/images/train/truffle_grey_salt_caramel/IMG_2035_r04_c01_render00.jpg,train,occupied,truffle_grey_salt_caramel,Grey Salt Caramel,IMG_1975_c004,IMG_1975.jpg,manual_polygon,IMG_2035_r04_c01.jpg,IMG_2035.jpg,10,4,1,0,180,20,24,20260917
IMG_2035_r04_c01_render01,data/synthetic_slots/v2_10_slot/images/train/truffle_key_lime_pie/IMG_2035_r04_c01_render01.jpg,train,occupied,truffle_key_lime_pie,Key Lime Pie,IMG_1995_c011,IMG_1995.jpg,manual_polygon,IMG_2035_r04_c01.jpg,IMG_2035.jpg,10,4,1,1,148,46,29,20260917
IMG_2035_r04_c01_render02,data/synthetic_slots/v2_10_slot/images/train/truffle_lemon/IMG_2035_r04_c01_render02.jpg,train,occupied,truffle_lemon,Lemon,IMG_1991_c008,IMG_1991.jpg,expanded_u2net,IMG_2035_r04_c01.jpg,IMG_2035.jpg,10,4,1,2,167,19,41,20260917
IMG_2035_r04_c02_render00,data/synthetic_slots/v2_10_slot/images/train/truffle_manhattan/IMG_2035_r04_c02_render00.jpg,train,occupied,truffle_manhattan,Manhattan,IMG_1965_c026,IMG_1965.jpg,expanded_isnet,IMG_2035_r04_c02.jpg,IMG_2035.jpg,10,4,2,0,159,45,26,20260917
IMG_2035_r04_c02_render01,data/synthetic_slots/v2_10_slot/images/train/truffle_maple_cream/IMG_2035_r04_c02_render01.jpg,train,occupied,truffle_maple_cream,Maple Cream,IMG_1986_c001,IMG_1986.jpg,manual_polygon,IMG_2035_r04_c02.jpg,IMG_2035.jpg,10,4,2,1,175,34,24,20260917
IMG_2035_r04_c02_render02,data/synthetic_slots/v2_10_slot/images/train/truffle_peanut_butter_caramel/IMG_2035_r04_c02_render02.jpg,train,occupied,truffle_peanut_butter_caramel,Peanut Butter Caramel,IMG_1966_c012,IMG_1966.jpg,expanded_u2net,IMG_2035_r04_c02.jpg,IMG_2035.jpg,10,4,2,2,176,28,16,20260917
IMG_2035_r05_c01_render00,data/synthetic_slots/v2_10_slot/images/train/truffle_pineapple_moscato/IMG_2035_r05_c01_render00.jpg,train,occupied,truffle_pineapple_moscato,Pineapple & Moscato,IMG_1997_c016,IMG_1997.jpg,expanded_u2net,IMG_2035_r05_c01.jpg,IMG_2035.jpg,10,5,1,0,146,44,46,20260917
IMG_2035_r05_c01_render01,data/synthetic_slots/v2_10_slot/images/train/truffle_pistachio/IMG_2035_r05_c01_render01.jpg,train,occupied,truffle_pistachio,Pistachio,IMG_1987_c008,IMG_1987.jpg,expanded_u2net,IMG_2035_r05_c01.jpg,IMG_2035.jpg,10,5,1,1,183,23,28,20260917
IMG_2035_r05_c01_render02,data/synthetic_slots/v2_10_slot/images/train/truffle_pumpkin_spice_latte/IMG_2035_r05_c01_render02.jpg,train,occupied,truffle_pumpkin_spice_latte,Pumpkin Spice Latte,IMG_1963_c011,IMG_1963.jpg,expanded_u2net,IMG_2035_r05_c01.jpg,IMG_2035.jpg,10,5,1,2,155,34,39,20260917
IMG_2035_r05_c02_render00,data/synthetic_slots/v2_10_slot/images/train/truffle_raspberry/IMG_2035_r05_c02_render00.jpg,train,occupied,truffle_raspberry,Raspberry,IMG_1969_c016,IMG_1969.jpg,expanded_u2net,IMG_2035_r05_c02.jpg,IMG_2035.jpg,10,5,2,0,171,34,25,20260917
IMG_2035_r05_c02_render01,data/synthetic_slots/v2_10_slot/images/train/truffle_s_mores/IMG_2035_r05_c02_render01.jpg,train,occupied,truffle_s_mores,S'mores,IMG_1971_c011,IMG_1971.jpg,manual_polygon,IMG_2035_r05_c02.jpg,IMG_2035.jpg,10,5,2,1,167,26,32,20260917
IMG_2035_r05_c02_render02,data/synthetic_slots/v2_10_slot/images/train/truffle_salted_caramel/IMG_2035_r05_c02_render02.jpg,train,occupied,truffle_salted_caramel,Salted Caramel,IMG_1967_c004,IMG_1967.jpg,manual_polygon,IMG_2035_r05_c02.jpg,IMG_2035.jpg,10,5,2,2,147,48,36,20260917
IMG_2036_r01_c01_render00,data/synthetic_slots/v2_10_slot/images/validation/truffle_strawberry_shortcake/IMG_2036_r01_c01_render00.jpg,validation,occupied,truffle_strawberry_shortcake,Strawberry Shortcake,IMG_1990_c018,IMG_1990.jpg,expanded_u2net,IMG_2036_r01_c01.jpg,IMG_2036.jpg,10,1,1,0,163,33,23,20260917
IMG_2036_r01_c01_render01,data/synthetic_slots/v2_10_slot/images/validation/truffle_tea_honey/IMG_2036_r01_c01_render01.jpg,validation,occupied,truffle_tea_honey,Tea & Honey,IMG_1959_c020,IMG_1959.jpg,expanded_u2net,IMG_2036_r01_c01.jpg,IMG_2036.jpg,10,1,1,1,176,27,29,20260917
IMG_2036_r01_c01_render02,data/synthetic_slots/v2_10_slot/images/validation/truffle_turtle/IMG_2036_r01_c01_render02.jpg,validation,occupied,truffle_turtle,Turtle,IMG_1968_c007,IMG_1968.jpg,expanded_u2net,IMG_2036_r01_c01.jpg,IMG_2036.jpg,10,1,1,2,149,41,39,20260917
IMG_2036_r01_c02_render00,data/synthetic_slots/v2_10_slot/images/validation/cocoashot_amaretto/IMG_2036_r01_c02_render00.jpg,validation,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2036_r01_c02.jpg,IMG_2036.jpg,10,1,2,0,149,46,39,20260917
IMG_2036_r01_c02_render01,data/synthetic_slots/v2_10_slot/images/validation/cocoashot_bourbon/IMG_2036_r01_c02_render01.jpg,validation,occupied,cocoashot_bourbon,Bourbon,IMG_1984_c010,IMG_1984.jpg,expanded_u2net,IMG_2036_r01_c02.jpg,IMG_2036.jpg,10,1,2,1,151,48,41,20260917
IMG_2036_r01_c02_render02,data/synthetic_slots/v2_10_slot/images/validation/cocoashot_chocolate_cake/IMG_2036_r01_c02_render02.jpg,validation,occupied,cocoashot_chocolate_cake,Chocolate Cake,IMG_1982_c007,IMG_1982.jpg,expanded_u2net,IMG_2036_r01_c02.jpg,IMG_2036.jpg,10,1,2,2,154,38,34,20260917
IMG_2036_r02_c01_render00,data/synthetic_slots/v2_10_slot/images/validation/cocoashot_old_fashioned/IMG_2036_r02_c01_render00.jpg,validation,occupied,cocoashot_old_fashioned,Old Fashioned,IMG_1977_c007,IMG_1977.jpg,manual_polygon,IMG_2036_r02_c01.jpg,IMG_2036.jpg,10,2,1,0,175,26,33,20260917
IMG_2036_r02_c01_render01,data/synthetic_slots/v2_10_slot/images/validation/cocoashot_tequila/IMG_2036_r02_c01_render01.jpg,validation,occupied,cocoashot_tequila,Tequila,IMG_1981_c002,IMG_1981.jpg,manual_polygon,IMG_2036_r02_c01.jpg,IMG_2036.jpg,10,2,1,1,185,25,23,20260917
IMG_2036_r02_c01_render02,data/synthetic_slots/v2_10_slot/images/validation/cocoashot_whiskey/IMG_2036_r02_c01_render02.jpg,validation,occupied,cocoashot_whiskey,Whiskey,IMG_1983_c010,IMG_1983.jpg,expanded_u2net,IMG_2036_r02_c01.jpg,IMG_2036.jpg,10,2,1,2,185,19,26,20260917
IMG_2036_r02_c02_render00,data/synthetic_slots/v2_10_slot/images/validation/truffle_amaretto/IMG_2036_r02_c02_render00.jpg,validation,occupied,truffle_amaretto,Amaretto,IMG_1970_c020,IMG_1970.jpg,expanded_u2net,IMG_2036_r02_c02.jpg,IMG_2036.jpg,10,2,2,0,170,36,30,20260917
IMG_2036_r02_c02_render01,data/synthetic_slots/v2_10_slot/images/validation/truffle_bananas_foster/IMG_2036_r02_c02_render01.jpg,validation,occupied,truffle_bananas_foster,Bananas Foster,IMG_1960_c010,IMG_1960.jpg,expanded_isnet,IMG_2036_r02_c02.jpg,IMG_2036.jpg,10,2,2,1,178,29,14,20260917
IMG_2036_r02_c02_render02,data/synthetic_slots/v2_10_slot/images/validation/truffle_brownie_batter/IMG_2036_r02_c02_render02.jpg,validation,occupied,truffle_brownie_batter,Brownie Batter,IMG_1976_c016,IMG_1976.jpg,expanded_u2net,IMG_2036_r02_c02.jpg,IMG_2036.jpg,10,2,2,2,183,14,26,20260917
IMG_2036_r03_c01_render00,data/synthetic_slots/v2_10_slot/images/validation/truffle_caramel_apple_cider/IMG_2036_r03_c01_render00.jpg,validation,occupied,truffle_caramel_apple_cider,Caramel Apple Cider,IMG_1964_c006,IMG_1964.jpg,expanded_u2net,IMG_2036_r03_c01.jpg,IMG_2036.jpg,10,3,1,0,164,24,25,20260917
IMG_2036_r03_c01_render01,data/synthetic_slots/v2_10_slot/images/validation/truffle_champagne/IMG_2036_r03_c01_render01.jpg,validation,occupied,truffle_champagne,Champagne,IMG_1974_c004,IMG_1974.jpg,manual_polygon,IMG_2036_r03_c01.jpg,IMG_2036.jpg,10,3,1,1,169,36,35,20260917
IMG_2036_r03_c01_render02,data/synthetic_slots/v2_10_slot/images/validation/truffle_cheesecake/IMG_2036_r03_c01_render02.jpg,validation,occupied,truffle_cheesecake,Cheesecake,IMG_1988_c006,IMG_1988.jpg,expanded_u2net,IMG_2036_r03_c01.jpg,IMG_2036.jpg,10,3,1,2,153,53,40,20260917
IMG_2036_r03_c02_render00,data/synthetic_slots/v2_10_slot/images/validation/truffle_confetti_cake/IMG_2036_r03_c02_render00.jpg,validation,occupied,truffle_confetti_cake,Confetti Cake,IMG_1994_c012,IMG_1994.jpg,expanded_u2net,IMG_2036_r03_c02.jpg,IMG_2036.jpg,10,3,2,0,180,16,29,20260917
IMG_2036_r03_c02_render01,data/synthetic_slots/v2_10_slot/images/validation/truffle_cookies_cream/IMG_2036_r03_c02_render01.jpg,validation,occupied,truffle_cookies_cream,Cookies & Cream,IMG_1992_c025,IMG_1992.jpg,expanded_isnet,IMG_2036_r03_c02.jpg,IMG_2036.jpg,10,3,2,1,171,29,29,20260917
IMG_2036_r03_c02_render02,data/synthetic_slots/v2_10_slot/images/validation/truffle_creamsicle/IMG_2036_r03_c02_render02.jpg,validation,occupied,truffle_creamsicle,Creamsicle,IMG_1989_c011,IMG_1989.jpg,expanded_isnet,IMG_2036_r03_c02.jpg,IMG_2036.jpg,10,3,2,2,147,48,39,20260917
IMG_2036_r04_c01_render00,data/synthetic_slots/v2_10_slot/images/validation/truffle_creme_brulee/IMG_2036_r04_c01_render00.jpg,validation,occupied,truffle_creme_brulee,Crème Brûlée,IMG_1973_c019,IMG_1973.jpg,expanded_u2net,IMG_2036_r04_c01.jpg,IMG_2036.jpg,10,4,1,0,179,24,21,20260917
IMG_2036_r04_c01_render01,data/synthetic_slots/v2_10_slot/images/validation/truffle_dulce_de_leche/IMG_2036_r04_c01_render01.jpg,validation,occupied,truffle_dulce_de_leche,Dulce de Leche,IMG_1961_c001,IMG_1961.jpg,manual_polygon,IMG_2036_r04_c01.jpg,IMG_2036.jpg,10,4,1,1,152,37,38,20260917
IMG_2036_r04_c01_render02,data/synthetic_slots/v2_10_slot/images/validation/truffle_espresso_martini/IMG_2036_r04_c01_render02.jpg,validation,occupied,truffle_espresso_martini,Espresso Martini,IMG_1972_c020,IMG_1972.jpg,expanded_u2net,IMG_2036_r04_c01.jpg,IMG_2036.jpg,10,4,1,2,162,26,38,20260917
IMG_2036_r04_c02_render00,data/synthetic_slots/v2_10_slot/images/validation/truffle_grey_salt_caramel/IMG_2036_r04_c02_render00.jpg,validation,occupied,truffle_grey_salt_caramel,Grey Salt Caramel,IMG_1975_c004,IMG_1975.jpg,manual_polygon,IMG_2036_r04_c02.jpg,IMG_2036.jpg,10,4,2,0,166,33,27,20260917
IMG_2036_r04_c02_render01,data/synthetic_slots/v2_10_slot/images/validation/truffle_key_lime_pie/IMG_2036_r04_c02_render01.jpg,validation,occupied,truffle_key_lime_pie,Key Lime Pie,IMG_1995_c011,IMG_1995.jpg,manual_polygon,IMG_2036_r04_c02.jpg,IMG_2036.jpg,10,4,2,1,152,44,28,20260917
IMG_2036_r04_c02_render02,data/synthetic_slots/v2_10_slot/images/validation/truffle_lemon/IMG_2036_r04_c02_render02.jpg,validation,occupied,truffle_lemon,Lemon,IMG_1991_c008,IMG_1991.jpg,expanded_u2net,IMG_2036_r04_c02.jpg,IMG_2036.jpg,10,4,2,2,168,28,33,20260917
IMG_2036_r05_c01_render00,data/synthetic_slots/v2_10_slot/images/validation/truffle_manhattan/IMG_2036_r05_c01_render00.jpg,validation,occupied,truffle_manhattan,Manhattan,IMG_1965_c026,IMG_1965.jpg,expanded_isnet,IMG_2036_r05_c01.jpg,IMG_2036.jpg,10,5,1,0,159,30,39,20260917
IMG_2036_r05_c01_render01,data/synthetic_slots/v2_10_slot/images/validation/truffle_maple_cream/IMG_2036_r05_c01_render01.jpg,validation,occupied,truffle_maple_cream,Maple Cream,IMG_1986_c001,IMG_1986.jpg,manual_polygon,IMG_2036_r05_c01.jpg,IMG_2036.jpg,10,5,1,1,162,46,23,20260917
IMG_2036_r05_c01_render02,data/synthetic_slots/v2_10_slot/images/validation/truffle_peanut_butter_caramel/IMG_2036_r05_c01_render02.jpg,validation,occupied,truffle_peanut_butter_caramel,Peanut Butter Caramel,IMG_1966_c012,IMG_1966.jpg,expanded_u2net,IMG_2036_r05_c01.jpg,IMG_2036.jpg,10,5,1,2,151,45,30,20260917
IMG_2036_r05_c02_render00,data/synthetic_slots/v2_10_slot/images/validation/truffle_pineapple_moscato/IMG_2036_r05_c02_render00.jpg,validation,occupied,truffle_pineapple_moscato,Pineapple & Moscato,IMG_1997_c016,IMG_1997.jpg,expanded_u2net,IMG_2036_r05_c02.jpg,IMG_2036.jpg,10,5,2,0,181,25,21,20260917
IMG_2036_r05_c02_render01,data/synthetic_slots/v2_10_slot/images/validation/truffle_pistachio/IMG_2036_r05_c02_render01.jpg,validation,occupied,truffle_pistachio,Pistachio,IMG_1987_c008,IMG_1987.jpg,expanded_u2net,IMG_2036_r05_c02.jpg,IMG_2036.jpg,10,5,2,1,157,41,29,20260917
IMG_2036_r05_c02_render02,data/synthetic_slots/v2_10_slot/images/validation/truffle_pumpkin_spice_latte/IMG_2036_r05_c02_render02.jpg,validation,occupied,truffle_pumpkin_spice_latte,Pumpkin Spice Latte,IMG_1963_c011,IMG_1963.jpg,expanded_u2net,IMG_2036_r05_c02.jpg,IMG_2036.jpg,10,5,2,2,185,13,14,20260917
IMG_2037_r01_c01_render00,data/synthetic_slots/v2_10_slot/images/train/truffle_raspberry/IMG_2037_r01_c01_render00.jpg,train,occupied,truffle_raspberry,Raspberry,IMG_1969_c016,IMG_1969.jpg,expanded_u2net,IMG_2037_r01_c01.jpg,IMG_2037.jpg,10,1,1,0,162,32,42,20260917
IMG_2037_r01_c01_render01,data/synthetic_slots/v2_10_slot/images/train/truffle_s_mores/IMG_2037_r01_c01_render01.jpg,train,occupied,truffle_s_mores,S'mores,IMG_1971_c011,IMG_1971.jpg,manual_polygon,IMG_2037_r01_c01.jpg,IMG_2037.jpg,10,1,1,1,163,22,29,20260917
IMG_2037_r01_c01_render02,data/synthetic_slots/v2_10_slot/images/train/truffle_salted_caramel/IMG_2037_r01_c01_render02.jpg,train,occupied,truffle_salted_caramel,Salted Caramel,IMG_1967_c004,IMG_1967.jpg,manual_polygon,IMG_2037_r01_c01.jpg,IMG_2037.jpg,10,1,1,2,174,34,18,20260917
IMG_2037_r01_c02_render00,data/synthetic_slots/v2_10_slot/images/train/truffle_strawberry_shortcake/IMG_2037_r01_c02_render00.jpg,train,occupied,truffle_strawberry_shortcake,Strawberry Shortcake,IMG_1990_c018,IMG_1990.jpg,expanded_u2net,IMG_2037_r01_c02.jpg,IMG_2037.jpg,10,1,2,0,145,32,47,20260917
IMG_2037_r01_c02_render01,data/synthetic_slots/v2_10_slot/images/train/truffle_tea_honey/IMG_2037_r01_c02_render01.jpg,train,occupied,truffle_tea_honey,Tea & Honey,IMG_1959_c020,IMG_1959.jpg,expanded_u2net,IMG_2037_r01_c02.jpg,IMG_2037.jpg,10,1,2,1,171,18,37,20260917
IMG_2037_r01_c02_render02,data/synthetic_slots/v2_10_slot/images/train/truffle_turtle/IMG_2037_r01_c02_render02.jpg,train,occupied,truffle_turtle,Turtle,IMG_1968_c007,IMG_1968.jpg,expanded_u2net,IMG_2037_r01_c02.jpg,IMG_2037.jpg,10,1,2,2,159,34,37,20260917
IMG_2037_r02_c01_render00,data/synthetic_slots/v2_10_slot/images/train/cocoashot_amaretto/IMG_2037_r02_c01_render00.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2037_r02_c01.jpg,IMG_2037.jpg,10,2,1,0,184,26,16,20260917
IMG_2037_r02_c01_render01,data/synthetic_slots/v2_10_slot/images/train/cocoashot_bourbon/IMG_2037_r02_c01_render01.jpg,train,occupied,cocoashot_bourbon,Bourbon,IMG_1984_c010,IMG_1984.jpg,expanded_u2net,IMG_2037_r02_c01.jpg,IMG_2037.jpg,10,2,1,1,174,38,31,20260917
IMG_2037_r02_c01_render02,data/synthetic_slots/v2_10_slot/images/train/cocoashot_chocolate_cake/IMG_2037_r02_c01_render02.jpg,train,occupied,cocoashot_chocolate_cake,Chocolate Cake,IMG_1982_c007,IMG_1982.jpg,expanded_u2net,IMG_2037_r02_c01.jpg,IMG_2037.jpg,10,2,1,2,183,27,18,20260917
IMG_2037_r02_c02_render00,data/synthetic_slots/v2_10_slot/images/train/cocoashot_old_fashioned/IMG_2037_r02_c02_render00.jpg,train,occupied,cocoashot_old_fashioned,Old Fashioned,IMG_1977_c007,IMG_1977.jpg,manual_polygon,IMG_2037_r02_c02.jpg,IMG_2037.jpg,10,2,2,0,159,31,31,20260917
IMG_2037_r02_c02_render01,data/synthetic_slots/v2_10_slot/images/train/cocoashot_tequila/IMG_2037_r02_c02_render01.jpg,train,occupied,cocoashot_tequila,Tequila,IMG_1981_c002,IMG_1981.jpg,manual_polygon,IMG_2037_r02_c02.jpg,IMG_2037.jpg,10,2,2,1,151,42,38,20260917
IMG_2037_r02_c02_render02,data/synthetic_slots/v2_10_slot/images/train/cocoashot_whiskey/IMG_2037_r02_c02_render02.jpg,train,occupied,cocoashot_whiskey,Whiskey,IMG_1983_c010,IMG_1983.jpg,expanded_u2net,IMG_2037_r02_c02.jpg,IMG_2037.jpg,10,2,2,2,145,43,47,20260917
IMG_2037_r03_c01_render00,data/synthetic_slots/v2_10_slot/images/train/truffle_amaretto/IMG_2037_r03_c01_render00.jpg,train,occupied,truffle_amaretto,Amaretto,IMG_1970_c020,IMG_1970.jpg,expanded_u2net,IMG_2037_r03_c01.jpg,IMG_2037.jpg,10,3,1,0,158,39,43,20260917
IMG_2037_r03_c01_render01,data/synthetic_slots/v2_10_slot/images/train/truffle_bananas_foster/IMG_2037_r03_c01_render01.jpg,train,occupied,truffle_bananas_foster,Bananas Foster,IMG_1960_c010,IMG_1960.jpg,expanded_isnet,IMG_2037_r03_c01.jpg,IMG_2037.jpg,10,3,1,1,170,32,31,20260917
IMG_2037_r03_c01_render02,data/synthetic_slots/v2_10_slot/images/train/truffle_brownie_batter/IMG_2037_r03_c01_render02.jpg,train,occupied,truffle_brownie_batter,Brownie Batter,IMG_1976_c016,IMG_1976.jpg,expanded_u2net,IMG_2037_r03_c01.jpg,IMG_2037.jpg,10,3,1,2,152,32,35,20260917
IMG_2037_r03_c02_render00,data/synthetic_slots/v2_10_slot/images/train/truffle_caramel_apple_cider/IMG_2037_r03_c02_render00.jpg,train,occupied,truffle_caramel_apple_cider,Caramel Apple Cider,IMG_1964_c006,IMG_1964.jpg,expanded_u2net,IMG_2037_r03_c02.jpg,IMG_2037.jpg,10,3,2,0,157,35,41,20260917
IMG_2037_r03_c02_render01,data/synthetic_slots/v2_10_slot/images/train/truffle_champagne/IMG_2037_r03_c02_render01.jpg,train,occupied,truffle_champagne,Champagne,IMG_1974_c004,IMG_1974.jpg,manual_polygon,IMG_2037_r03_c02.jpg,IMG_2037.jpg,10,3,2,1,172,29,32,20260917
IMG_2037_r03_c02_render02,data/synthetic_slots/v2_10_slot/images/train/truffle_cheesecake/IMG_2037_r03_c02_render02.jpg,train,occupied,truffle_cheesecake,Cheesecake,IMG_1988_c006,IMG_1988.jpg,expanded_u2net,IMG_2037_r03_c02.jpg,IMG_2037.jpg,10,3,2,2,169,41,29,20260917
IMG_2037_r04_c01_render00,data/synthetic_slots/v2_10_slot/images/train/truffle_confetti_cake/IMG_2037_r04_c01_render00.jpg,train,occupied,truffle_confetti_cake,Confetti Cake,IMG_1994_c012,IMG_1994.jpg,expanded_u2net,IMG_2037_r04_c01.jpg,IMG_2037.jpg,10,4,1,0,162,34,40,20260917
IMG_2037_r04_c01_render01,data/synthetic_slots/v2_10_slot/images/train/truffle_cookies_cream/IMG_2037_r04_c01_render01.jpg,train,occupied,truffle_cookies_cream,Cookies & Cream,IMG_1992_c025,IMG_1992.jpg,expanded_isnet,IMG_2037_r04_c01.jpg,IMG_2037.jpg,10,4,1,1,181,23,24,20260917
IMG_2037_r04_c01_render02,data/synthetic_slots/v2_10_slot/images/train/truffle_creamsicle/IMG_2037_r04_c01_render02.jpg,train,occupied,truffle_creamsicle,Creamsicle,IMG_1989_c011,IMG_1989.jpg,expanded_isnet,IMG_2037_r04_c01.jpg,IMG_2037.jpg,10,4,1,2,168,25,32,20260917
